user_id,name,age,gender,city_tier,occupation,monthly_income,monthly_expenses,monthly_savings,recharge_frequency,average_recharge_amount,electricity_payment_rate,water_payment_rate,internet_payment_rate,late_bill_count,upi_transactions,wallet_transactions,ecommerce_orders,payment_consistency,digital_activity_score,expense_ratio,savings_ratio,financial_discipline,credit_score,credit_category
1,Megha Nadig,21,Male,Tier-1,Freelancer,63598,54041,8935,9,239,98,78,96,0,301,74,3,90.67,378,0.85,0.14,67.55,599,Fair
2,Vedhika Sengupta,23,Male,Tier-2,Salaried,61781,47212,12338,12,599,93,97,99,1,101,20,15,96.33,136,0.76,0.2,78.16,601,Fair
3,Shaurya Bhandari,33,Female,Tier-3,Salaried,31698,24159,5489,10,499,95,99,94,0,217,44,5,96.0,266,0.76,0.17,73.19,608,Fair
4,Vritti Lall,51,Female,Tier-2,Business Owner,115674,86066,28695,10,399,100,93,94,0,468,24,19,95.67,511,0.74,0.25,75.28,646,Fair
5,Daksh Toor,32,Female,Tier-2,Freelancer,25659,20015,4142,9,399,83,97,96,0,305,41,11,92.0,357,0.78,0.16,68.84,612,Fair
6,Gautam Nadig,43,Female,Tier-3,Salaried,70099,48460,20275,12,499,90,93,90,1,202,27,5,91.0,234,0.69,0.29,78.18,617,Fair
7,Upasna Rai,38,Female,Tier-3,Salaried,50928,29132,18902,12,599,92,94,92,0,243,44,8,92.67,295,0.57,0.37,81.47,658,Good
8,Utkarsh Saraf,27,Female,Tier-3,Salaried,58392,39489,15963,10,299,92,100,92,1,116,34,10,94.67,160,0.68,0.27,75.53,606,Fair
9,Pushti Dave,20,Female,Tier-1,Gig Worker,32291,26504,4640,11,299,94,78,94,3,108,57,7,88.67,172,0.82,0.14,70.64,540,Poor
10,Alka Kamdar,44,Male,Tier-3,Gig Worker,15854,12854,1839,6,299,79,90,86,5,130,39,6,85.0,175,0.81,0.12,57.98,476,Poor
